No.	时间（s）	Dev1/ai0-1-测振（mm/s）	VH01-V1-Dev1/ai0一次积分（μm）
223	0.222	-1.56179105070088	-16.0084575228761
224	0.223	-1.57741781216454	-17.5780619543088
225	0.224	-1.60867133508635	-19.1711065279343
226	0.225	-1.63992485800086	-20.7954046244779
227	0.226	-1.57741781216454	-22.4040759595606
228	0.227	-1.56179105070088	-23.9736803909933
229	0.228	-1.51491076629893	-25.5120312994932
230	0.229	-1.53053752776808	-27.0347554465267
231	0.23	-1.452403720404	-28.5262260706127
232	0.231	-1.46803048188049	-29.986443171755
233	0.232	-1.40552343596351	-31.423220130677
234	0.233	-1.31176286703284	-32.7818632821751
235	0.234	-1.2648825825426	-34.0701860069628
236	0.235	-1.21800229803574	-35.311628447252
237	0.236	-1.18674877502191	-36.5140039837808
238	0.237	-1.1086149674549	-37.6616858550192
239	0.238	-1.04610792136787	-38.7390472994306
240	0.239	-0.999227636783067	-39.7617150785061
241	0.24	-0.905467067563125	-40.7140624306792
242	0.241	-0.827333259828455	-41.580462594375
243	0.242	-0.79607973672148	-42.3921690926499
244	0.243	-0.702319167355523	-43.1413685446884
245	0.244	-0.639812121073951	-43.8124341889032
246	0.245	-0.546051551595049	-44.4053660252377
247	0.246	-0.452290982048118	-44.9045372920593
248	0.247	-0.358530412432962	-45.3099479892998
249	0.248	-0.34290365082379	-45.6606650209282
250	0.249	-0.233516319506289	-45.9488750060932
251	0.25	-0.171009272997194	-46.1511378023449
252	0.251	-0.045995179887195	-46.2596400287871
253	0.252	0.0321386283688831	-46.2665683045463
254	0.253	0.125899198339654	-46.187549391192
255	0.254	0.219659768379859	-46.0147699078323
256	0.255	0.344673861875144	-45.7326030927048
257	0.256	0.391554146967884	-45.3644890882833
258	0.257	0.500941478919031	-44.9182412753398
259	0.258	0.64158233442527	-44.3469793686676
260	0.259	0.672835857892623	-43.6897702725087
261	0.26	0.813476713592857	-42.946613986766
262	0.261	0.907237284148228	-42.0862569878954
263	0.262	1.00099785477466	-41.132139418434
264	0.263	1.09475842547236	-40.0842612783105
265	0.264	1.09475842547236	-38.9895028528381
